会	B-操作人
员	I-操作人
应	O
当	O
全	B-操作
面	I-操作
了	I-操作
解	I-操作
参	B-操作部分
与	I-操作部分
中	I-操作部分
国	I-操作部分
存	I-操作部分
托	I-操作部分
凭	I-操作部分
证	I-操作部分
业	I-操作部分
务	I-操作部分
的	I-操作部分
投	I-操作部分
资	I-操作部分
者	I-操作部分
情	I-操作部分
况	I-操作部分
，	O
提	B-操作
出	I-操作
明	B-操作部分
确	I-操作部分
的	I-操作部分
适	I-操作部分
当	I-操作部分
性	I-操作部分
匹	I-操作部分
配	I-操作部分
意	I-操作部分
见	I-操作部分
，	O
不	B-操作
得	I-操作
接	I-操作
受	I-操作
不	B-操作部分
符	I-操作部分
合	I-操作部分
适	I-操作部分
当	I-操作部分
性	I-操作部分
管	I-操作部分
理	I-操作部分
要	I-操作部分
求	I-操作部分
的	I-操作部分
投	I-操作部分
资	I-操作部分
者	I-操作部分
参	I-操作部分
与	I-操作部分
中	I-操作部分
国	I-操作部分
存	I-操作部分
托	I-操作部分
凭	I-操作部分
证	I-操作部分
交	I-操作部分
易	I-操作部分
。	O
