"text"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 向不特定对象发行的可转债交易以多边净额方式结算。
</s><s>Assistant: 交易品种:向不特定对象发行的可转债,value:多边净额方式,操作:结算
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 全额成交或撤销申报，以对手方价格为成交价，如与申报进入交易主机时集中申报簿中对手方所有申报队列依次成交能够使其完全成交的，则依次成交，否则申报全部自动撤销。
</s><s>Assistant: value:全额成交或撤销申报,价格:对手方价格,key:成交价,时间:申报进入交易主机时,操作部分:集中申报簿中对手方所有申报队列,状态:依次成交能够使其完全成交,结果:依次成交,or:否则,操作部分:申报全部,结果:自动撤销
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 盘后定价交易申报的时间为每个交易日9：15至11：30、13：00至15：30。
</s><s>Assistant: key:盘后定价交易申报的时间,时间:每个交易日9：15至11：30、
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 通过竞价交易买入红筹公司存托凭证的，申报数量应当为100份或其整数倍，单笔申报最大数量不得超过100万份。
</s><s>Assistant: 交易方式:竞价交易,交易品种:红筹公司存托凭证,key:申报数量,数量:100份,or:或,数量:其整数倍,key:单笔申报最大数量,结果:不得,op:超过,value:100万份
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 投资者交易、申赎跨市场股票ETF时，应当遵守下列规定：（一）当日竞价买入的ETF份额，当日可以赎回；当日大宗买入的ETF份额，次一交易日可以赎回；（二）当日通过本所申购的ETF份额，当日可以竞价卖出，次一交易日可以赎回或者大宗卖出；（三）当日通过本所赎回得到的股票，当日可以竞价卖出，次一交易日可以用于申购ETF份额或者大宗卖出；（四）当日竞价买入的股票，当日可以用于申购ETF份额；当日大宗买入的股票，次一交易日可以用于申购ETF份额；（五）当日通过登记结算机构申购的ETF份额，在交收前不得卖出或者赎回。
</s><s>Assistant: 操作人:投资者,操作:交易,操作:申赎,操作部分:跨市场股票ETF,时间:当日,操作:竞价买入,操作部分:ETF份额,时间:当日,操作:赎回,时间:当日,操作:大宗买入,操作部分:ETF份额,时间:次一交易日,操作:赎回,时间:当日,操作:申购,操作部分:ETF份额,时间:当日,操作:竞价卖出,时间:次一交易日,操作:赎回,or:或者,操作:大宗卖出,时间:当日,操作:赎回,操作部分:股票,时间:当日,操作:竞价卖出,时间:次一交易日,操作:申购,操作部分:ETF份额,or:或者,操作:大宗卖出,时间:当日,操作:竞价买入,操作部分:股票,时间:当日,操作:申购,操作部分:ETF份额,时间:当日,操作:大宗买入,操作部分:股票,时间:次一交易日,操作:申购,操作部分:ETF份额,时间:当日,操作人:登记结算机构,操作:申购,操作部分:ETF份额,时间:交收前,结果:不得,操作:卖出,or:或者,操作:赎回
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 2．按时对报价回购交易进行购回清算，并依约向甲方支付收益。
</s><s>Assistant: 操作部分:报价回购交易,操作:购回清算,操作:依约向甲方支付,操作部分:收益
