"text"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 卖方应当于竞买日通过交易系统提交竞买发起申报。
</s><s>Assistant: 操作人:卖方,时间:竞买日,操作:提交,操作部分:竞买发起申报
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 交易一方将协商一致的交易要素通过交易系统发送给交易对手方，经交易对手方确认后，由交易系统确认成交。
</s><s>Assistant: 操作人:交易一方,操作部分:协商一致的交易要素,系统:交易系统,操作:发送,操作人:交易对手方,事件:经交易对手方确认后,系统:交易系统,操作:确认成交
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 投资者及其一致行动人通过首次发售拥有权益的基金份额达到或超过基础设施基金份额50%的，继续增持该基础设施基金份额的，适用前述规定。
</s><s>Assistant: 操作人:投资者及其一致行动人,状态:首次发售拥有权益的基金份额达到或超过基础设施基金份额50%,状态:继续增持该基础设施基金份额
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 一般做市商对其自行选定的做市品种在一定时期内开展做市业务（以下简称一般做市业务）。
</s><s>Assistant: 操作人:一般做市商,交易品种:其自行选定的做市品种,时间:一定时期内,操作:开展,操作部分:做市业务,value:一般做市业务
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 即时成交剩余撤销申报，以对手方价格为成交价，与申报进入交易主机时集中申报簿中对手方所有申报队列依次成交，未成交部分自动撤销。
</s><s>Assistant: value:即时成交剩余撤销申报,价格:对手方价格,key:成交价,时间:申报进入交易主机时,操作部分:集中申报簿中对手方所有申报队列,结果:依次成交,操作部分:未成交部分,结果:自动撤销
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: T+1日，中国结算深圳分公司根据报价回购交易清算结果在证券公司自营结算备付金账户和客户结算备付金账户之间办理资金划付，最后一批次的资金划付时点为16︰00。
</s><s>Assistant: 时间:T+1日,操作人:中国结算深圳分公司,value:报价回购交易清算结果,操作部分:证券公司自营结算备付金账户和客户结算备付金账户之间,操作:办理资金划付,key:最后一批次的资金划付时点,时间:16︰00
</s>"
"<s>Human: 给出一条规则，请你尽可能全面地将规则中的关键信息抽取出来。
规则: 下列证券品种实行当日回转交易：（一）债券交易型开放式基金；（二）上市交易的货币市场基金；（三）黄金交易型开放式基金；（四）跨境交易型开放式基金和跨境上市开放式基金；（五）商品期货交易型开放式基金。
